id,season,season_type,game_center_link
2010020303,20102011,2,/gamecenter/lak-vs-ott/2010/11/22/2010020303
2010020304,20102011,2,/gamecenter/bos-vs-tbl/2010/11/22/2010020304
2010020305,20102011,2,/gamecenter/pit-vs-fla/2010/11/22/2010020305
2010020306,20102011,2,/gamecenter/edm-vs-phx/2010/11/23/2010020306
2010020307,20102011,2,/gamecenter/pit-vs-buf/2010/11/24/2010020307
2010020308,20102011,2,/gamecenter/cbj-vs-nyi/2010/11/24/2010020308
2010020309,20102011,2,/gamecenter/wsh-vs-car/2010/11/24/2010020309
2010020310,20102011,2,/gamecenter/det-vs-atl/2010/11/24/2010020310
2010020311,20102011,2,/gamecenter/lak-vs-mtl/2010/11/24/2010020311
2010020312,20102011,2,/gamecenter/dal-vs-ott/2010/11/24/2010020312
2010020313,20102011,2,/gamecenter/cgy-vs-njd/2010/11/24/2010020313
2010020314,20102011,2,/gamecenter/nyr-vs-tbl/2010/11/24/2010020314
2010020315,20102011,2,/gamecenter/bos-vs-fla/2010/11/24/2010020315
2010020316,20102011,2,/gamecenter/stl-vs-nsh/2010/11/24/2010020316
2010020317,20102011,2,/gamecenter/phi-vs-min/2010/11/24/2010020317
2010020318,20102011,2,/gamecenter/col-vs-van/2010/11/24/2010020318
2010020319,20102011,2,/gamecenter/chi-vs-sjs/2010/11/24/2010020319
2010020320,20102011,2,/gamecenter/col-vs-edm/2010/11/25/2010020320
2010020321,20102011,2,/gamecenter/car-vs-bos/2010/11/26/2010020321
2010020322,20102011,2,/gamecenter/njd-vs-nyi/2010/11/26/2010020322
2010020323,20102011,2,/gamecenter/cgy-vs-phi/2010/11/26/2010020323
2010020324,20102011,2,/gamecenter/ott-vs-pit/2010/11/26/2010020324
2010020325,20102011,2,/gamecenter/nsh-vs-min/2010/11/26/2010020325
2010020326,20102011,2,/gamecenter/chi-vs-ana/2010/11/26/2010020326
2010020327,20102011,2,/gamecenter/tbl-vs-wsh/2010/11/26/2010020327
2010020328,20102011,2,/gamecenter/det-vs-cbj/2010/11/26/2010020328
2010020329,20102011,2,/gamecenter/tor-vs-buf/2010/11/26/2010020329
2010020330,20102011,2,/gamecenter/mtl-vs-atl/2010/11/26/2010020330
2010020331,20102011,2,/gamecenter/nyr-vs-fla/2010/11/26/2010020331
2010020332,20102011,2,/gamecenter/stl-vs-dal/2010/11/26/2010020332
2010020333,20102011,2,/gamecenter/sjs-vs-van/2010/11/26/2010020333
2010020334,20102011,2,/gamecenter/phi-vs-njd/2010/11/27/2010020334
2010020335,20102011,2,/gamecenter/cgy-vs-pit/2010/11/27/2010020335
2010020336,20102011,2,/gamecenter/buf-vs-mtl/2010/11/27/2010020336
2010020337,20102011,2,/gamecenter/tor-vs-ott/2010/11/27/2010020337
2010020338,20102011,2,/gamecenter/fla-vs-tbl/2010/11/27/2010020338
2010020339,20102011,2,/gamecenter/dal-vs-stl/2010/11/27/2010020339
2010020340,20102011,2,/gamecenter/nyr-vs-nsh/2010/11/27/2010020340
2010020341,20102011,2,/gamecenter/ana-vs-phx/2010/11/27/2010020341
2010020342,20102011,2,/gamecenter/min-vs-col/2010/11/27/2010020342
2010020343,20102011,2,/gamecenter/sjs-vs-edm/2010/11/27/2010020343
2010020344,20102011,2,/gamecenter/chi-vs-lak/2010/11/27/2010020344
2010020345,20102011,2,/gamecenter/car-vs-wsh/2010/11/28/2010020345
2010020346,20102011,2,/gamecenter/bos-vs-atl/2010/11/28/2010020346
